MsgID.STATE,1521418377.9036155,False,False
MsgID.LOCAL_POSITION,1521418391.7415700,9.9518280,10.2981377,-0.6358965
MsgID.LOCAL_VELOCITY,1521418391.7415700,-0.0624880,-0.0104142,2.4459498
MsgID.STATE,1521418391.9231012,True,True
MsgID.GLOBAL_HOME,1521418391.9356182,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418391.9912388,-122.3973398,37.7925702,0.1580000
MsgID.LOCAL_VELOCITY,1521418391.9912388,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521418391.9914844,9.9738979,10.0877619,-0.1586076
MsgID.LOCAL_VELOCITY,1521418391.9914844,0.0004781,-0.0002475,0.0000256
MsgID.GLOBAL_POSITION,1521418392.2410369,-122.3973397,37.7925696,0.1940000
MsgID.LOCAL_VELOCITY,1521418392.2410369,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521418392.2412748,9.9072418,10.0912943,-0.1940822
MsgID.LOCAL_VELOCITY,1521418392.2412748,-0.0003704,-0.0000211,0.0000392
MsgID.LOCAL_POSITION,1521418392.4919524,9.8651505,10.1286221,-0.2089634
MsgID.LOCAL_VELOCITY,1521418392.4919524,-0.0002781,-0.0001457,0.0000400
MsgID.GLOBAL_POSITION,1521418392.4924037,-122.3973393,37.7925692,0.2080000
MsgID.LOCAL_VELOCITY,1521418392.4924037,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1521418392.7418170,-122.3973403,37.7925712,0.2000000
MsgID.LOCAL_VELOCITY,1521418392.7418170,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521418392.7422845,10.0827389,10.0407534,-0.2005118
MsgID.LOCAL_VELOCITY,1521418392.7422845,-0.0002579,-0.0000536,0.0000146
MsgID.STATE,1521418392.9238739,True,True
MsgID.GLOBAL_HOME,1521418392.9361882,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521418392.9905028,-122.3973379,37.7925716,0.1720000
